"@timestamp","event.action","process.command_line","event.code","destination.port","source.port","network.transport"
"Jun 13, 2025 @ 14:07:40.929","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:35.644","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:34.642","Network connection","-",3,443,"50,775",tcp
"Jun 13, 2025 @ 14:07:33.273","Network connection","-",3,443,"50,774",tcp
"Jun 13, 2025 @ 14:07:31.039","Process terminated","-",5,"-","-","-"
"Jun 13, 2025 @ 14:07:30.754","Network connection","-",3,443,"50,773",tcp
"Jun 13, 2025 @ 14:07:30.374","Network connection","-",3,443,"50,772",tcp
"Jun 13, 2025 @ 14:07:30.354","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:29.211",None,"-",7036,"-","-","-"
"Jun 13, 2025 @ 14:07:25.062","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:24.644","Network connection","-",3,443,"50,771",tcp
"Jun 13, 2025 @ 14:07:23.259","Network connection","-",3,443,"50,770",tcp
"Jun 13, 2025 @ 14:07:20.371","Network connection","-",3,443,"50,769",tcp
"Jun 13, 2025 @ 14:07:19.770","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:16.740","Network connection","-",3,443,"50,768",tcp
"Jun 13, 2025 @ 14:07:14.641","Network connection","-",3,443,"50,767",tcp
"Jun 13, 2025 @ 14:07:14.475","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:13.243","Network connection","-",3,443,"50,766",tcp
"Jun 13, 2025 @ 14:07:10.383","Network connection","-",3,443,"50,765",tcp
"Jun 13, 2025 @ 14:07:10.338","Network connection","-",3,53,"63,421",udp
"Jun 13, 2025 @ 14:07:09.187","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:04.736","Network connection","-",3,443,"50,764",tcp
"Jun 13, 2025 @ 14:07:04.680","Network connection","-",3,443,"50,763",tcp
"Jun 13, 2025 @ 14:07:04.611","Network connection","-",3,53,"51,246",udp
"Jun 13, 2025 @ 14:07:03.897","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:03.224","Network connection","-",3,443,"50,762",tcp
"Jun 13, 2025 @ 14:07:01.188","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:07:00.360","Network connection","-",3,443,"50,761",tcp
"Jun 13, 2025 @ 14:06:58.613","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:06:54.639","Network connection","-",3,443,"50,760",tcp
"Jun 13, 2025 @ 14:06:53.318","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:06:53.208","Network connection","-",3,443,"50,759",tcp
"Jun 13, 2025 @ 14:06:50.719","Network connection","-",3,443,"50,758",tcp
"Jun 13, 2025 @ 14:06:50.359","Network connection","-",3,443,"50,757",tcp
"Jun 13, 2025 @ 14:06:50.338","Network connection","-",3,443,"50,756",tcp
"Jun 13, 2025 @ 14:06:50.253","Network connection","-",3,443,"50,755",tcp
"Jun 13, 2025 @ 14:06:48.034","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:06:44.638","Network connection","-",3,443,"50,754",tcp
"Jun 13, 2025 @ 14:06:44.290","Process terminated","-",5,"-","-","-"
"Jun 13, 2025 @ 14:06:44.288",None,"-",7036,"-","-","-"
"Jun 13, 2025 @ 14:06:44.269",None,"-",16384,"-","-","-"
"Jun 13, 2025 @ 14:06:43.179","Network connection","-",3,443,"50,753",tcp
"Jun 13, 2025 @ 14:06:42.741","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:06:40.339","Network connection","-",3,443,"50,752",tcp
"Jun 13, 2025 @ 14:06:39.721","Process terminated","-",5,"-","-","-"
"Jun 13, 2025 @ 14:06:38.714","Network connection","-",3,443,"50,751",tcp
"Jun 13, 2025 @ 14:06:37.452","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:06:34.633","Network connection","-",3,443,"50,750",tcp
"Jun 13, 2025 @ 14:06:32.166","-","-","-","-","-","-"
"Jun 13, 2025 @ 14:06:32.152","Network connection","-",3,443,"50,749",tcp
"Jun 13, 2025 @ 14:06:31.711","Network connection","-",3,443,"50,748",tcp
"Jun 13, 2025 @ 14:06:30.305","Network connection","-",3,443,"50,747",tcp
"Jun 13, 2025 @ 14:06:27.731",None,"-",7036,"-","-","-"
